,title,relatedTickers,ticker,open,close,signal,amount,trust_rate,score
0,"Will GameStop Pull Out Its NFT Games? Are NFTs A Buy Now? [SEP] 3 Unstoppable Growth Stocks to Buy and Hold Forever [SEP] Netflix stock climbs higher on bullish Wall Street sentiment: 'Poised to outperform' [SEP] FTC Sues To Block Microsoft-Activision Blizzard Deal, Netflix's First Sports Streaming Debut, EU Mulls Antitrust Case Against Google's Ad-Tech Business: Today's Top Stories [SEP] Netflix Is Finally Trying What Amazon, Apple Are Doing With This Major Move [SEP] Rebel's Edge - June 13: $NFLX, $PLAY, $ORCL, and MLB Payroll [SEP] Shonda Rhimes' Net Worth—Here's How Much The 'Queen Charlotte' Creator Earns [SEP] Netflix Stock Continues Climb On Positive Sentiment For Video Streamer [SEP] Netflix Gains on Rave Reviews for Password Crackdown and Sports Livestream Hopes [SEP] ","{'NFLX', 'MSFT', 'ADBE', 'GOOGL', 'ATVI', 'AMZN', 'ORCL', 'DIS', 'SFTBY', 'OKTA'}",NFLX,430.010009765625,424.68,0.56999046,9,2.2167487684729066,1.2635256416104699
1,"Boeing Leads 5 Dow Jones Giants Near Buy Points [SEP] 3 High-Yield Tech Stocks to Buy in June [SEP] Cisco Systems, Inc. (NASDAQ:CSCO) is largely controlled by institutional shareholders who own 75% of the company [SEP] Is Zoom A Buy Amid AI Software Race In Workplace Collaboration? [SEP] People Behind Purpose at Cisco: How a Life-Long Love for Animals Led to a Career in Sustainability [SEP] Is Cisco Stock A Buy Amid Debate Over Acquisitions, Capital Returns? [SEP] Dow Jones Futures: Nasdaq Hits 2023 High; Inflation Data, Fed Meeting Loom; Tesla Extends Win Streak [SEP] Dow Jones Rallies On Cool CPI Inflation Data; Cathie Wood Sells $92 Million Of Tesla Stock [SEP] ","{'IBM', 'FND', 'CSCO', 'COMP', 'TSLA', 'MSFT', 'ZM', 'BA', '^DJI', 'MCD', '^GSPC', 'WMT', 'DXCM', 'JPM', 'QCOM', 'FTNT'}",CSCO,50.685001373291016,50.52,0.39438275,8,1.9704433497536946,0.7771088571971273
2,"Investors Can Stop Worrying About Toyota’s EV Strategy [SEP] U.S. Stock Futures Rise After Weak CPI Data, FOMC in Focus [SEP] CPI Comes in Lower Than Expected [SEP] Toyota Seeks to Compete With Tesla Through Powerful New EV Technology [SEP] Why QuantumScape Stock Jumped Today [SEP] Toyota Announces Its Tesla Killers [SEP] Toyota introduced an ambitious new EV strategy [SEP] Toyota Shares Gain as the Carmaker Unveils New EV Plans [SEP] ","{'QS', 'TM', 'TSLA', 'TOYOF', 'ORCL'}",TM,157.88999938964844,149.99,0.39470753,8,1.9704433497536946,0.7777488290382724
3,"We Think Eli Lilly (NYSE:LLY) Can Stay On Top Of Its Debt [SEP] Checking In On the Housing Market, the Las Vegas Strip, and the Weight-Loss Industry [SEP] 2 Biotech Stocks That Could Help Make You a Fortune [SEP] Biogen (BIIB), Eisai Alzheimer Drug Gets FDA Panel Endorsement [SEP] Trading the Alzheimer's Space: Here's My Plan as Companies Try to Slay the Beast [SEP] Top 20 Most Profitable Pharmaceutical Companies In The World [SEP] Top Stock Reports for Apple, UnitedHealth & Eli Lilly [SEP] One Of The Biggest Names In Medicine Just Entered The Obesity Melee. Here's Why Novo, Lilly Still Have An Edge. [SEP] ","{'LLY', 'UNH', 'PFE', 'WMT', 'WELL', 'ROG.SW', 'MRK', 'AZN', 'TAK', 'NVO', 'AAPL', 'CRSP', 'BIIB', 'PRTA', 'MRK.DE', 'GILD', 'ABBV', 'NVS', 'JNJ', 'VRTX', 'BMY', 'AMGN'}",LLY,443.6700134277344,445.4,0.5217272,8,1.9704433497536946,1.0280339001434777
4,"Most investors don't want to know more about abortion risks that companies face [SEP] Apple's Biggest Advantage Over Meta in VR [SEP] Zacks Investment Ideas feature highlights: Nvidia, Meta Platforms and Palo Alto Networks [SEP] Cathie Wood Funds Buy Shares of Meta for First Time Since 2021 [SEP] Calculating The Fair Value Of Meta Platforms, Inc. (NASDAQ:META) [SEP] Cathie Wood Goes Bargain Hunting: 3 Stocks She Just Bought [SEP] Meta releases 'human-like' AI image creation model [SEP] Cathie Wood Watch: Ark Dives Back Into Meta Platforms [SEP] ","{'GOOG', 'AAPL', 'META', 'TTD', 'TSLA', 'COST', 'GOOGL', 'NVDA', 'PANW', 'CVS', 'UPS'}",META,274.8800048828125,271.7,0.39436284,8,1.9704433497536946,0.7770696297067727
5,"Dow Jones Today: Index Climbs Ahead of Fed Decision [SEP] AI: 20% of investors say they've used an AI chatbot, Yahoo Finance-Ipsos poll finds [SEP] Dow Jones Rallies On Cool CPI Inflation Data; Cathie Wood Sells $92 Million Of Tesla Stock [SEP] Microsoft's (MSFT) Xbox and Starfield Showcase Games Jointly [SEP] Microsoft Stumbles on Unexpected Problem for the Control of Call of Duty [SEP] Best Stocks To Buy And Watch Now: Lam Research Headlines 5 Top Tech Stocks For June 2023 [SEP] FTC Sues To Block Microsoft-Activision Blizzard Deal, Netflix's First Sports Streaming Debut, EU Mulls Antitrust Case Against Google's Ad-Tech Business: Today's Top Stories [SEP] 15 Most Profitable Hedge Funds in the World [SEP] Activision Blizzard Might Not Need Microsoft. Just Look at ‘Diablo IV’ Sales. [SEP] AI winners & losers: How to play the AI wave [SEP] ","{'NFLX', 'CSCO', 'MSFT', 'UBSFY', 'GOOGL', 'FTNT', 'MDB', 'TSLA', 'CVX', 'ATVI', '^GSPC', 'JPM', 'GS', 'FND', 'AMD', 'COMP', 'NVDA', 'GOOG', 'SFTBY', 'INTC', 'CAT', '^DJI', 'DXCM'}",MSFT,334.4649963378906,334.0,0.5173795,10,2.4630541871921183,1.2743337988266217
6,"UnitedHealth Group's (NYSE:UNH) Dividend Will Be Increased To $1.88 [SEP] Here's What We Like About UnitedHealth Group's (NYSE:UNH) Upcoming Dividend [SEP] The Zacks Analyst Blog Highlights UnitedHealth Group, Johnson Controls International, Casey's General Stores and TotalEnergies [SEP] UnitedHealth Group (UNH) Stock Sinks As Market Gains: What You Should Know [SEP] UnitedHealth Group’s 2022 Sustainability Report Highlights Efforts To Diversify the Health Workforce, Minimize Its Environmental Footprint [SEP] Why This 1 Momentum Stock Could Be a Great Addition to Your Portfolio [SEP] Here’s Why UnitedHealth (UNH) Landed in Baron Funds’ Q1 Detractor List [SEP] Top Stock Reports for Apple, UnitedHealth & Eli Lilly [SEP] ","{'AAPL', 'LLY', 'JCI', 'CASY', 'UNH', '^GSPC', 'WMT', 'WELL'}",UNH,490.8699951171875,492.98,0.5919341,8,1.9704433497536946,1.1663725810685182
7,The First Vaccines for RSV Are Coming Soon. What to Know. [SEP] Is Most-Watched Stock Pfizer Inc. (PFE) Worth Betting on Now? [SEP] Novartis (NVS) to Buy Chinook for $3.5B to Strengthen Pipeline [SEP] Negotiation or Coercion? Big Pharma and US Chamber of Commerce Tackle Government on Drug Prices [SEP] 2 Bargain Stocks You Can Buy Today and Hold Forever [SEP] Top 20 Most Profitable Pharmaceutical Companies In The World [SEP] ,"{'SNY', 'ABBV', 'LLY', 'NVS', 'PFE', 'BIIB', 'MRNA', 'JNJ', 'SDA', 'MRK.DE', 'BMY', 'AZN', 'TAK', 'GILD', 'AMGN'}",PFE,39.66999816894531,39.9,0.56417716,6,1.477832512315271,0.8337593430956008
8,"10 Quantum Computing Stocks Billionaires Are Loading Up On [SEP] Most investors don't want to know more about abortion risks that companies face [SEP] 10 Companies That Announced Huge Share Buybacks Recently [SEP] CrowdStrike's Generative AI to Revolutionize Cybersecurity [SEP] AI: 20% of investors say they've used an AI chatbot, Yahoo Finance-Ipsos poll finds [SEP] Cathie Wood Says Robotaxi Revenue is Headed Toward $4 Trillion -- 2 Growth Stocks to Buy Now [SEP] BIDU or GOOG: Which Is the Better Value Stock Right Now? [SEP] FTC Sues To Block Microsoft-Activision Blizzard Deal, Netflix's First Sports Streaming Debut, EU Mulls Antitrust Case Against Google's Ad-Tech Business: Today's Top Stories [SEP] IBD Screen Of The Day: Google Stock Hits Profit Goal; Chipotle Offers Fresh Entry [SEP] Why Lumen Stock Is Skyrocketing Today [SEP] These Are The Best Robinhood Stocks To Buy Or Watch Now [SEP] ","{'CRWD', 'NFLX', 'META', 'MSFT', 'BIDU', 'GOOGL', 'MT', 'MRNA', 'IBM', 'ALGN', 'CMG', 'TSLA', 'COST', 'ATVI', '^GSPC', 'UPS', 'GS', 'AMD', 'DAL', 'NVDA', 'CVS', 'GOOG', 'LUMN', 'NKE', 'SFTBY', 'LMT', 'INTC', 'UBER', 'HON', 'GLNG'}",GOOGL,124.9800033569336,123.79,0.39436096,11,2.70935960591133,1.0684656538986808
9,"Home Depot, Adobe, Oracle, the Fed, Inflation, and More to Watch This Week [SEP] A Home Depot Worker's Bathroom Mirror Selfie Now Has Over 30 Million Views [SEP] The Home Depot Provides Update on Strategic Objectives; Reaffirms Fiscal 2023 Guidance; Establishes Market Stability Outlook [SEP] These Stocks Are Moving the Most Today: Oracle, Tesla, Apple, GameStop, and More [SEP] Home Depot Sticks to Fiscal-Year Guidance. Why That’s a Relief for Investors. [SEP] ","{'AAPL', 'TSLA', 'LEN-B', 'HD', 'ORCL'}",HD,302.3999938964844,301.58,0.39436436,5,1.2315270935960592,0.48567039038747406
